property_id,loan_balance,interest_rate,maturity_year,amortization_years,loan_type,rate_type
P001,31203855.54,0.0361,2029,30,CMHC-insured,Fixed
P002,42069696.83,0.0403,2032,40,CMHC-insured,Fixed
P003,22673039.87,0.075,2027,20,Bridge/private,Variable
P004,20370078.72,0.087,2028,20,Bridge/private,Variable
P005,30789443.57,0.0744,2028,20,Bridge/private,Variable
P006,38270775.79,0.0389,2032,40,CMHC-insured,Fixed
P007,47378362.05,0.0383,2029,40,CMHC-insured,Fixed
P008,23688143.6,0.0417,2030,35,CMHC-insured,Fixed
P009,19372470.42,0.0582,2027,25,Conventional,Fixed
P010,22685303.09,0.0588,2029,25,Conventional,Fixed
P011,28442047.69,0.0532,2027,25,Conventional,Variable
P012,20641981.16,0.0381,2030,30,CMHC-insured,Fixed
P013,37681522.12,0.0371,2030,40,CMHC-insured,Fixed
P014,19055736.13,0.0576,2027,25,Conventional,Fixed
P015,26569975.53,0.0397,2030,40,CMHC-insured,Fixed
P016,29790426.53,0.046,2029,35,CMHC-insured,Fixed
P017,27180241.55,0.0362,2030,35,CMHC-insured,Fixed
P018,21008705.39,0.0564,2027,25,Conventional,Fixed
P019,17830910.43,0.059,2030,25,Conventional,Variable
P020,20422803.75,0.0419,2032,35,CMHC-insured,Fixed
P021,27388395.36,0.0607,2030,25,Conventional,Variable
P022,20056741.51,0.0362,2029,35,CMHC-insured,Fixed
P023,19173038.61,0.0681,2028,20,Construction,Variable
P024,42694683.55,0.0432,2030,30,CMHC-insured,Fixed
