property_id,month,occupancy,revenue,operating_expenses,noi
P001,2022-09,0.9376,279208.95,120003.65,159205.3
P001,2022-10,0.9583,286046.07,123522.43,162523.64
P001,2022-11,0.9321,278869.66,120991.77,157877.89
P001,2022-12,0.9557,286623.32,124942.67,161680.65
P001,2023-01,0.9425,283322.75,124086.75,159236.0
P001,2023-02,0.9453,284837.02,125338.67,159498.35
P001,2023-03,0.9399,283885.15,125509.34,158375.81
P001,2023-04,0.9389,284230.09,126254.87,157975.22
P001,2023-05,0.9126,276920.79,123588.58,153332.21
P001,2023-06,0.9293,282664.2,126747.18,155917.02
P001,2023-07,0.9271,282665.66,127345.99,155319.67
P001,2023-08,0.9283,283688.41,128409.9,155278.51
P001,2023-09,0.9325,285632.05,129899.82,155732.23
P001,2023-10,0.9524,292422.07,133615.39,158806.68
P001,2023-11,0.938,288672.23,132524.46,156147.77
P001,2023-12,0.9489,292726.78,135020.03,157706.75
P001,2024-01,0.9373,289824.63,134312.29,155512.34
P001,2024-02,0.9413,291749.14,135842.21,155906.93
P001,2024-03,0.9274,288128.08,134789.31,153338.77
P001,2024-04,0.9371,291832.02,137166.33,154665.69
P001,2024-05,0.9336,291415.1,137616.76,153798.34
P001,2024-06,0.9247,289324.14,137274.12,152050.02
P001,2024-07,0.9437,295952.1,141081.52,154870.58
P001,2024-08,0.9439,296724.34,142117.18,154607.16
P001,2024-09,0.9625,303278.49,145941.81,157336.68
P001,2024-10,0.9566,302126.52,146073.58,156052.94
P001,2024-11,0.9449,299127.94,145306.32,153821.62
P001,2024-12,0.9381,297697.53,145293.93,152403.6
P001,2025-01,0.946,300892.98,147546.54,153346.44
P001,2025-02,0.9487,302465.39,149017.53,153447.86
P001,2025-03,0.9301,297233.47,147130.97,150102.5
P001,2025-04,0.9361,299848.75,149125.98,150722.77
P001,2025-05,0.9355,300381.09,150095.74,150285.35
P001,2025-06,0.927,298344.81,149781.78,148563.03
P001,2025-07,0.9345,301478.35,152069.22,149409.13
P001,2025-08,0.9301,300739.76,152412.56,148327.2
P001,2025-09,0.9372,303755.12,154667.2,149087.92
P001,2025-10,0.9417,305957.36,156523.74,149433.62
P001,2025-11,0.9614,313076.79,160921.81,152154.98
P001,2025-12,0.9511,310467.87,160333.92,150133.95
P001,2026-01,0.9499,310806.81,161266.43,149540.38
P001,2026-02,0.9484,311044.66,162151.47,148893.19
P001,2026-03,0.9338,306974.07,160784.64,146189.43
P001,2026-04,0.9336,307608.54,161877.3,145731.24
P001,2026-05,0.9335,308299.44,163006.54,145292.9
P001,2026-06,0.935,309530.41,164429.72,145100.69
P001,2026-07,0.9129,302927.56,161681.56,141246.0
P001,2026-08,0.932,310001.45,166237.93,143763.52
P002,2022-09,0.9501,349523.24,133486.88,216036.36
P002,2022-10,0.9563,353182.01,135387.3,217794.71
P002,2022-11,0.9508,352504.1,135631.44,216872.66
P002,2022-12,0.9608,357563.51,138091.27,219472.24
P002,2023-01,0.9655,360709.05,139825.66,220883.39
P002,2023-02,0.9598,359954.06,140053.43,219900.63
P002,2023-03,0.9467,356412.16,139192.56,217219.6
P002,2023-04,0.9485,358473.3,140519.68,217953.62
P002,2023-05,0.9405,356831.55,140397.83,216433.72
P002,2023-06,0.9421,358811.62,141703.47,217108.15
P002,2023-07,0.9418,360065.8,142729.15,217336.65
P002,2023-08,0.9545,366355.13,145763.88,220591.25
P002,2023-09,0.9499,365981.18,146158.21,219822.97
P002,2023-10,0.9574,370304.39,148436.31,221868.08
P002,2023-11,0.9648,374582.75,150711.32,223871.43
P002,2023-12,0.9649,376069.33,151873.8,224195.53
P002,2024-01,0.9387,367278.14,148876.74,218401.4
P002,2024-02,0.9551,375128.34,152625.98,222502.36
P002,2024-03,0.9444,372357.49,152063.69,220293.8
P002,2024-04,0.9291,367746.37,150740.74,217005.63
P002,2024-05,0.9425,374487.58,154076.54,220411.04
P002,2024-06,0.9426,375956.49,155257.82,220698.67
P002,2024-07,0.9304,372536.29,154419.21,218117.08
P002,2024-08,0.9417,378524.61,157486.63,221037.98
P002,2024-09,0.9587,386818.12,161537.44,225280.68
P002,2024-10,0.9535,386198.88,161880.39,224318.49
P002,2024-11,0.9483,385571.33,162220.14,223351.19
P002,2024-12,0.9671,394742.21,166698.02,228044.19
P002,2025-01,0.9413,385718.01,163494.68,222223.33
P002,2025-02,0.9445,388484.73,165281.59,223203.14
P002,2025-03,0.9408,388491.89,165901.12,222590.77
P002,2025-04,0.9387,389101.66,166781.26,222320.4
P002,2025-05,0.9331,388288.35,167053.42,221234.93
P002,2025-06,0.9392,392303.64,169410.44,222893.2
P002,2025-07,0.9446,396094.58,171685.48,224409.1
P002,2025-08,0.9433,397076.77,172753.15,224323.62
P002,2025-09,0.9471,400209.29,174765.41,225443.88
P002,2025-10,0.9507,403299.78,176771.86,226527.92
P002,2025-11,0.9497,404399.94,177915.2,226484.74
P002,2025-12,0.9531,407433.5,179918.38,227515.12
P002,2026-01,0.9517,408388.85,181012.89,227375.96
P002,2026-02,0.9505,409450.88,182160.52,227290.36
P002,2026-03,0.9344,404078.92,180441.1,223637.82
P002,2026-04,0.9424,409105.6,183367.15,225738.45
P002,2026-05,0.943,410941.57,184877.05,226064.52
