property_id,month,property_value,cap_rate
P001,2022-09,39716074.0,0.0481
P001,2022-10,40531243.21,0.0481
P001,2022-11,39360384.75,0.0481
P001,2022-12,40295889.52,0.0481
P001,2023-01,39674245.97,0.0482
P001,2023-02,39727238.72,0.0482
P001,2023-03,39435362.74,0.0482
P001,2023-04,39323377.04,0.0482
P001,2023-05,38155761.32,0.0482
P001,2023-06,38786910.27,0.0482
P001,2023-07,38626298.53,0.0483
P001,2023-08,38604061.98,0.0483
P001,2023-09,38704834.01,0.0483
P001,2023-10,39456683.01,0.0483
P001,2023-11,38784012.12,0.0483
P001,2023-12,39159073.94,0.0483
P001,2024-01,38602213.84,0.0483
P001,2024-02,38688157.1,0.0484
P001,2024-03,38039071.42,0.0484
P001,2024-04,38356349.34,0.0484
P001,2024-05,38129430.8,0.0484
P001,2024-06,37684311.9,0.0484
P001,2024-07,38371476.29,0.0484
P001,2024-08,38294350.1,0.0484
P001,2024-09,38958357.76,0.0485
P001,2024-10,38628533.0,0.0485
P001,2024-11,38064425.82,0.0485
P001,2024-12,37701863.05,0.0485
P001,2025-01,37923377.49,0.0485
P001,2025-02,37936731.74,0.0485
P001,2025-03,37098197.69,0.0486
P001,2025-04,37239993.99,0.0486
P001,2025-05,37120453.49,0.0486
P001,2025-06,36683714.68,0.0486
P001,2025-07,36881253.16,0.0486
P001,2025-08,36602887.4,0.0486
P001,2025-09,36779266.14,0.0486
P001,2025-10,36853184.28,0.0487
P001,2025-11,37512759.42,0.0487
P001,2025-12,37003084.86,0.0487
P001,2026-01,36845437.88,0.0487
P001,2026-02,36674680.54,0.0487
P001,2026-03,35997619.45,0.0487
P001,2026-04,35873753.02,0.0487
P001,2026-05,35754847.66,0.0488
P001,2026-06,35696566.45,0.0488
P001,2026-07,34737582.63,0.0488
P001,2026-08,35345867.27,0.0488
P002,2022-09,51054215.28,0.0508
P002,2022-10,51454552.82,0.0508
P002,2022-11,51221589.63,0.0508
P002,2022-12,51820266.86,0.0508
P002,2023-01,52138069.74,0.0508
